stdio    D         file_stdio.c:107  file_stdio_fopen                 [   0.00000] opening C:\Users\Leon\source\repos\JogoEmAllegro\x64\Debug\allegro5.cfg r
dtor     D               dtor.c:196  _al_register_destructor          [   0.01775] added dtor for sub_bitmap 0000013FD1CD7330, func 00007FFC8696118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.01782] added dtor for sub_bitmap 0000013FD1CD7AF0, func 00007FFC8696118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.01790] added dtor for sub_bitmap 0000013FD1CD7CE0, func 00007FFC8696118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.01797] added dtor for sub_bitmap 0000013FD1CD8C60, func 00007FFC8696118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.01805] added dtor for sub_bitmap 0000013FD1CDA1B0, func 00007FFC8696118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.01812] added dtor for sub_bitmap 0000013FD1CDA3A0, func 00007FFC8696118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.01819] added dtor for sub_bitmap 0000013FD1CD6F50, func 00007FFC8696118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.01826] added dtor for sub_bitmap 0000013FD1CD7ED0, func 00007FFC8696118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.01832] added dtor for sub_bitmap 0000013FD1CD9610, func 00007FFC8696118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.01839] added dtor for sub_bitmap 0000013FD1CD8E50, func 00007FFC8696118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.01847] added dtor for sub_bitmap 0000013FD1CDA590, func 00007FFC8696118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.01854] added dtor for sub_bitmap 0000013FD1CD80C0, func 00007FFC8696118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.01861] added dtor for sub_bitmap 0000013FD1CD8690, func 00007FFC8696118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.01868] added dtor for sub_bitmap 0000013FD1CD9800, func 00007FFC8696118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.01874] added dtor for sub_bitmap 0000013FD1CD9BE0, func 00007FFC8696118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.01880] added dtor for sub_bitmap 0000013FD1CD82B0, func 00007FFC8696118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.01887] added dtor for sub_bitmap 0000013FD1CD9DD0, func 00007FFC8696118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.01892] added dtor for sub_bitmap 0000013FD1CD84A0, func 00007FFC8696118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.01898] added dtor for sub_bitmap 0000013FD1CD6980, func 00007FFC8696118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.01905] added dtor for sub_bitmap 0000013FD1CD9FC0, func 00007FFC8696118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.01914] added dtor for sub_bitmap 0000013FD1CDCF80, func 00007FFC8696118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.01921] added dtor for sub_bitmap 0000013FD1CDE2E0, func 00007FFC8696118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.01929] added dtor for sub_bitmap 0000013FD1CDD740, func 00007FFC8696118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.01938] added dtor for sub_bitmap 0000013FD1CDF640, func 00007FFC8696118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.01944] added dtor for sub_bitmap 0000013FD1CE01E0, func 00007FFC8696118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.01950] added dtor for sub_bitmap 0000013FD1CDE8B0, func 00007FFC8696118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.01955] added dtor for sub_bitmap 0000013FD1CDEAA0, func 00007FFC8696118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.01963] added dtor for sub_bitmap 0000013FD1CDF260, func 00007FFC8696118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.01970] added dtor for sub_bitmap 0000013FD1CDD170, func 00007FFC8696118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.01975] added dtor for sub_bitmap 0000013FD1CDF830, func 00007FFC8696118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.01981] added dtor for sub_bitmap 0000013FD1CDD360, func 00007FFC8696118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.01988] added dtor for sub_bitmap 0000013FD1CDFA20, func 00007FFC8696118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.01994] added dtor for sub_bitmap 0000013FD1CDE4D0, func 00007FFC8696118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.01999] added dtor for sub_bitmap 0000013FD1CDC9B0, func 00007FFC8696118B
